Tool,Frequency,Roles
MongoDB,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
Microsoft SharePoint,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
Tableau,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
Qlik Tech QlikView,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
Oracle Business Intelligence Enterprise Edition,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
MicroStrategy,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
IBM Cognos Impromptu,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
Veritas NetBackup,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
IBM Domino,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
Shell script,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
Red Hat WildFly,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
Oracle WebLogic Server,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
UNIX,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
Customer information control system CICS,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
Apache HTTP Server,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
Microsoft PowerPoint,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
Microsoft Visio,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
Microsoft Project,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
Microsoft Excel,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
VMware,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
Oracle Solaris,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
Apache Cassandra,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
Perforce Helix software,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
Apache Solr,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
Apache Pig,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
Apache Hadoop,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
Linux,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
PostgreSQL,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
Microsoft Office software,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
Atlassian JIRA,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
Puppet,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
Human resource management software HRMS,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
Hewlett Packard HP-UX,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
KornShell,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
Apple macOS,3,ComputerNetworkArchitects; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
Job control language JCL,3,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators
Amazon Simple Storage Service S3,3,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators
Swift,3,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators
Django,3,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators
Oracle JavaServer Pages JSP,3,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators
Atlassian Confluence,3,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators
Hewlett Packard LoadRunner,3,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators
Microsoft ASP.NET Core MVC,3,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators
Microsoft ASP.NET,3,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators
Hibernate ORM,3,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators
Supervisory control and data acquisition SCADA software,3,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators
Network intrusion prevention systems NIPS,3,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators
Apache Groovy,3,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators
UNIX Shell,3,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators
JavaScript Object Notation JSON,3,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators
Microsoft ActiveX,3,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators
jQuery,3,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators
Ubuntu,3,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators
Bash,3,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators
Apache Struts,3,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators
Firewall software,3,ComputerNetworkArchitects; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
AJAX,3,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators
Wireshark,3,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators
Snort,3,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators
Microsoft Windows,3,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators
NortonLifeLock cybersecurity software,3,ComputerNetworkArchitects; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
Go,3,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators
Microsoft PowerShell,3,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators
Apache Kafka,3,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators
Apache Ant,3,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators
Adobe ActionScript,3,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators
SAS,3,ComputerandInformationSystemsManagers; ComputerProgrammers; NetworkandComputerSystemsAdministrators
Transact-SQL,3,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators
Oracle JDBC,3,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators
FileMaker Pro,3,ComputerandInformationSystemsManagers; ComputerProgrammers; NetworkandComputerSystemsAdministrators
StataCorp Stata,3,ComputerandInformationSystemsManagers; ComputerProgrammers; NetworkandComputerSystemsAdministrators
Amazon Redshift,3,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators
Amazon Elastic Compute Cloud EC2,3,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators
SAP Crystal Reports,3,ComputerandInformationSystemsManagers; ComputerProgrammers; NetworkandComputerSystemsAdministrators
Elasticsearch,3,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators
Apache Hive,3,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators
Amazon DynamoDB,3,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators
Docker,3,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators
Chef,3,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators
GitHub,3,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators
Red Hat OpenShift,3,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators
Dassault Systemes CATIA,3,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators
Unified modeling language UML,3,ComputerNetworkArchitects; ComputerProgrammers; ComputerandInformationSystemsManagers
SolarWinds,3,ComputerNetworkArchitects; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
Apache Spark,3,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators
Amazon Web Services AWS CloudFormation,3,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators
The MathWorks MATLAB,3,ComputerNetworkArchitects; ComputerProgrammers; ComputerandInformationSystemsManagers
ESRI ArcGIS software,3,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators
Git,3,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators
Microsoft Word,3,ComputerNetworkArchitects; ComputerProgrammers; ComputerandInformationSystemsManagers
Apache Subversion SVN,3,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators
Ansible software,3,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators
SAP Business Objects,3,ComputerandInformationSystemsManagers; ComputerProgrammers; NetworkandComputerSystemsAdministrators
Ruby,3,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators
Oracle PeopleSoft,3,ComputerandInformationSystemsManagers; ComputerProgrammers; NetworkandComputerSystemsAdministrators
Oracle JD Edwards EnterpriseOne,3,ComputerandInformationSystemsManagers; ComputerProgrammers; NetworkandComputerSystemsAdministrators
Spring Framework,3,ComputerNetworkArchitects; ComputerProgrammers; ComputerandInformationSystemsManagers
Oracle Hyperion,3,ComputerandInformationSystemsManagers; ComputerProgrammers; NetworkandComputerSystemsAdministrators
NetSuite ERP,3,ComputerandInformationSystemsManagers; ComputerProgrammers; NetworkandComputerSystemsAdministrators
Microsoft Dynamics GP,3,ComputerandInformationSystemsManagers; ComputerProgrammers; NetworkandComputerSystemsAdministrators
Atlassian Bamboo,3,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators
Help desk software,3,ComputerNetworkArchitects; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
IBM Notes,3,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators
Adobe Flex,2,ComputerandInformationSystemsManagers; ComputerProgrammers
Packet filter software,2,ComputerNetworkArchitects; NetworkandComputerSystemsAdministrators
Cascading style sheets CSS,2,ComputerNetworkArchitects; ComputerProgrammers
Ping Identity,2,ComputerNetworkArchitects; NetworkandComputerSystemsAdministrators
Cisco Webex,2,ComputerNetworkArchitects; NetworkandComputerSystemsAdministrators
Backbone.js,2,ComputerandInformationSystemsManagers; ComputerProgrammers
Progress WebSpeed Workshop,2,ComputerandInformationSystemsManagers; ComputerProgrammers
Google Angular,2,ComputerNetworkArchitects; ComputerProgrammers
Ext JS,2,ComputerNetworkArchitects; ComputerProgrammers
Minitab,2,ComputerNetworkArchitects; ComputerProgrammers
R,2,ComputerandInformationSystemsManagers; ComputerProgrammers
Microsoft FrontPage,2,ComputerandInformationSystemsManagers; ComputerProgrammers
Progress Sonic ESB,2,ComputerandInformationSystemsManagers; ComputerProgrammers
Tax software,2,ComputerandInformationSystemsManagers; ComputerProgrammers
Spring Boot,2,ComputerNetworkArchitects; ComputerProgrammers
Google Analytics,2,ComputerandInformationSystemsManagers; ComputerProgrammers
Canu,2,ComputerandInformationSystemsManagers; ComputerProgrammers
Progress OpenEdge ABL,2,ComputerandInformationSystemsManagers; ComputerProgrammers
Verilog,2,ComputerNetworkArchitects; ComputerProgrammers
Embarcadero Delphi,2,ComputerandInformationSystemsManagers; ComputerProgrammers
Selenium,2,ComputerNetworkArchitects; ComputerProgrammers
Objective C,2,ComputerandInformationSystemsManagers; ComputerProgrammers
Adobe Dreamweaver,2,ComputerProgrammers; NetworkandComputerSystemsAdministrators
IBM SPSS Statistics,2,ComputerandInformationSystemsManagers; ComputerProgrammers
Scala,2,ComputerNetworkArchitects; ComputerProgrammers
Microsoft Visual FoxPro,2,ComputerandInformationSystemsManagers; ComputerProgrammers
JUnit,2,ComputerNetworkArchitects; ComputerProgrammers
National Instruments LabVIEW,2,ComputerNetworkArchitects; ComputerProgrammers
Access management software,2,ComputerNetworkArchitects; NetworkandComputerSystemsAdministrators
Encryption software,2,ComputerNetworkArchitects; NetworkandComputerSystemsAdministrators
Patch and update management software,2,ComputerNetworkArchitects; NetworkandComputerSystemsAdministrators
Geographic information system GIS software,2,ComputerProgrammers; NetworkandComputerSystemsAdministrators
Delphi Technology,2,ComputerProgrammers; NetworkandComputerSystemsAdministrators
Oracle PeopleSoft Financials,2,ComputerProgrammers; NetworkandComputerSystemsAdministrators
Microsoft SQL Server Integration Services SSIS,2,ComputerProgrammers; NetworkandComputerSystemsAdministrators
Microsoft Outlook,2,ComputerandInformationSystemsManagers; NetworkandComputerSystemsAdministrators
Adobe Acrobat,2,ComputerProgrammers; NetworkandComputerSystemsAdministrators
Systems and applications migration software,2,ComputerNetworkArchitects; NetworkandComputerSystemsAdministrators
Microsoft Visual Basic for Applications VBA,2,ComputerProgrammers; NetworkandComputerSystemsAdministrators
Microsoft Publisher,2,ComputerProgrammers; NetworkandComputerSystemsAdministrators
Blackboard software,2,ComputerandInformationSystemsManagers; NetworkandComputerSystemsAdministrators
Blackbaud The Raiser's Edge,2,ComputerandInformationSystemsManagers; NetworkandComputerSystemsAdministrators
Automated installation software,2,ComputerNetworkArchitects; NetworkandComputerSystemsAdministrators
Domain name system DNS,2,ComputerNetworkArchitects; NetworkandComputerSystemsAdministrators
Application management software,2,ComputerNetworkArchitects; NetworkandComputerSystemsAdministrators
Computer aided design and drafting CADD software,2,ComputerProgrammers; NetworkandComputerSystemsAdministrators
Command interpreters,2,ComputerProgrammers; NetworkandComputerSystemsAdministrators
System and data disaster recovery software,2,ComputerNetworkArchitects; NetworkandComputerSystemsAdministrators
Citrix XenApp,2,ComputerNetworkArchitects; NetworkandComputerSystemsAdministrators
Root cause analysis software,2,ComputerNetworkArchitects; NetworkandComputerSystemsAdministrators
Simple network management protocol SNMP software,2,ComputerNetworkArchitects; NetworkandComputerSystemsAdministrators
Network documentation software,2,ComputerNetworkArchitects; NetworkandComputerSystemsAdministrators
Element management software,2,ComputerNetworkArchitects; NetworkandComputerSystemsAdministrators
Cisco Systems CiscoWorks,2,ComputerNetworkArchitects; NetworkandComputerSystemsAdministrators
Mac HelpMate,2,ComputerandInformationSystemsManagers; NetworkandComputerSystemsAdministrators
TKSoftware RCM software,2,ComputerandInformationSystemsManagers; NetworkandComputerSystemsAdministrators
Microsoft Active Directory,2,ComputerNetworkArchitects; NetworkandComputerSystemsAdministrators
Border Gateway Protocol BGP,2,ComputerNetworkArchitects; NetworkandComputerSystemsAdministrators
Tcpdump,2,ComputerNetworkArchitects; NetworkandComputerSystemsAdministrators
Storage area network SAN software,2,ComputerNetworkArchitects; NetworkandComputerSystemsAdministrators
Requirements management software,2,ComputerNetworkArchitects; NetworkandComputerSystemsAdministrators
Diagramming software,2,ComputerNetworkArchitects; NetworkandComputerSystemsAdministrators
,2,ComputerNetworkArchitects; NetworkandComputerSystemsAdministrators
Jupyter Notebook,2,ComputerProgrammers; NetworkandComputerSystemsAdministrators
Virtual local area network management software,2,ComputerNetworkArchitects; NetworkandComputerSystemsAdministrators
Security incident management software,2,ComputerNetworkArchitects; NetworkandComputerSystemsAdministrators
Network and system vulnerability assessment software,2,ComputerNetworkArchitects; NetworkandComputerSystemsAdministrators
Intrusion prevention system IPS,2,ComputerNetworkArchitects; NetworkandComputerSystemsAdministrators
Network intrusion detection software,2,ComputerNetworkArchitects; NetworkandComputerSystemsAdministrators
"Network, server and operating system optimization software",2,ComputerNetworkArchitects; NetworkandComputerSystemsAdministrators
Packet tracing software,2,ComputerNetworkArchitects; NetworkandComputerSystemsAdministrators
Voice over internet protocol VoIP system software,2,ComputerNetworkArchitects; NetworkandComputerSystemsAdministrators
Online traffic calculator software,2,ComputerNetworkArchitects; NetworkandComputerSystemsAdministrators
Network traffic probe software,2,ComputerNetworkArchitects; NetworkandComputerSystemsAdministrators
Network traffic flow monitoring and analysis software,2,ComputerNetworkArchitects; NetworkandComputerSystemsAdministrators
"Network modeling, mapping, and analysis software",2,ComputerNetworkArchitects; NetworkandComputerSystemsAdministrators
Network availability monitoring software,2,ComputerNetworkArchitects; NetworkandComputerSystemsAdministrators
Network and component performance analysis software,2,ComputerNetworkArchitects; NetworkandComputerSystemsAdministrators
Network and application load and performance testing software,2,ComputerNetworkArchitects; NetworkandComputerSystemsAdministrators
Multi-router traffic grapher MRTG software,2,ComputerNetworkArchitects; NetworkandComputerSystemsAdministrators
Ethereal,2,ComputerNetworkArchitects; NetworkandComputerSystemsAdministrators
Dartware InterMapper,2,ComputerandInformationSystemsManagers; NetworkandComputerSystemsAdministrators
Epic Systems,2,ComputerProgrammers; NetworkandComputerSystemsAdministrators
Local area network LAN software,2,ComputerNetworkArchitects; ComputerandInformationSystemsManagers
