Section,Category,Example
Technology,Transaction server software,Customer information control system CICS
Technology,Video creation and editing software,Apple Final Cut Pro
Technology,Video creation and editing software,Apple iMovie
Technology,Web page creation and editing software,Microsoft FrontPage
Technology,Web platform development software,Adobe Flex
Technology,Web platform development software,Apache Tomcat
Technology,Web platform development software,Backbone.js
Technology,Web platform development software,Drupal
Technology,Web platform development software,Dynamic hypertext markup language DHTML
Technology,Web platform development software,Enterprise JavaBeans
Technology,Web platform development software,Extensible hypertext markup language XHTML
Technology,Web platform development software,Hypertext markup language HTML
Technology,Web platform development software,JavaScript
Technology,Web platform development software,LAMP Stack
Technology,Web platform development software,Microsoft Active Server Pages ASP
Technology,Web platform development software,Node.js
Technology,Web platform development software,PHP
Technology,Web platform development software,Progress WebSpeed Workshop
Technology,Web platform development software,Ruby on Rails
Technology,Web platform development software,Spring Framework
Technology,Wireless software,Mobile wireless network infrastructure software
Technology,Word processing software,Apple iWork Pages
Technology,Word processing software,Microsoft Word
